Esp,nah
cónyuge,tosiua
cónyuge,toueue
No pensamos como la gente piensa,amo ma timoiljuikaj kej maseualmej moiljuiaj
Cuidado,ximomokuitlauikaj
quizás haya alguien que se los lleve como presa suya mediante la filosofía y el vano engaño del mundo,para axaka inmechkajkayauas ika miak tlajtoli yejyektsitsij uan keja nopa inmechilpis ipan tlen axmelauak uan tlen axipati
CANCIONES,uikatl
¿QUÉ RESPUESTA DARÍA?,¿kenijkatsa tijnankiliskia?
¿Qué advertencia dio él sobre la forma de pensar de las personas?,¿kenke ya kiijtok moneki timomokuitlauisej uan kiampa amo timoiljuisej kej sekinok maseualmej?
Dé un ejemplo de la forma de pensar del mundo y explique cómo rechazarlo,xikijto se tlamantli tlen maseualmej moiljuiaj uan xikixtoma kenijkatsa uelis tikixnamikisej
¿Cómo lo ha ayudado este artículo?,¿kenijkatsa mitspaleuijtok ni tlamachtili?
¿Qué advertencia les dio él a las personas?,¿tlake kintlajtolmakakej maseualmej?
SEGÚN parece él escribió su carta a los hermanos al final de su primer encierro en Roma tal vez en el año,uelis ya kintlajkuiljuilik ikniuaj katli kema nechka kisaskia kampa kitsaktoyaj ipan rroma uelis ipan xiuitl kema achtoui kitsajkej
En esta carta les habló de la importancia de llegar a tener comprensión espiritual es decir la capacidad de ver las cosas como las ve Dios,ipan nopa amatlajkuiloli kiniljuik kenke tlauel monekiyaya kimatisej tlen itonal teko tenextilia o kiitasej se keski tlamantli kej teotsij kiita
Él les dio esta advertencia,ya nojkia kintlajtolmakak
Esto lo digo para que nadie los alucine con argumentos persuasivos Cuidado quizás haya alguien que se los lleve como presa suya mediante la filosofía y el vano engaño según la tradición de los hombres según las cosas elementales del mundo y no según él,ya ni niinmechiljuia para axaka ma inmechkajkayauas inijuantij tlen yejyektsi kamatij uan kinekij inmechuikasej ipan seyok tlamachtili ximomokuitlauikaj para axaka inmechkajkayauas ika miak tlajtoli yejyektsitsij uan keja nopa inmechilpis ipan tlen axmelauak uan tlen axipati tlen inijuantij inmechmachtiaj uala tlen inintlalnamikilis tlakamej uan tlen ajakamej uan axya nopa tlen xitlauak inijuantij axinmechmachtiaj tlen ya
Luego les explicó por qué son incorrectas algunas ideas populares y por qué el modo de pensar del mundo puede atraer a las personas imperfectas,teipa kinixtomilik kenke tlauel amo kuali se keski tlamantli tlen maseualmej moiljuiaj uan kenke tlen inijuantij moiljuiaj ueliskia kinyoltilanas
Puede hacer creer a alguien que es más inteligente o mejor que los demás,uelis kichiuas sekij ma moiljuikaj san inijuantij tlauel ininpati o san inijuantij tlauel tlalnamikij uan sekinok amo
Así que él les escribió esta carta para ayudarlos a rechazar el modo de pensar del mundo y otras cosas malas,yeka kintlajkuiljuilik pampa kinekiyaya kinpaleuis amo ma moiljuikaj kej maseualmej uan amo ma kichiuakaj tlen amo kuali
¿Por qué vamos a analizar algunas ideas populares en el mundo?,¿kenke ipan ni tlamachtili tikitasej tlen miakej moiljuiaj?
Las personas que tienen la forma de pensar del mundo no hacen caso de las normas de Dios,katli amo kitekipanouaj teotsij amo moiljuiaj kej ya uan amo kinekij kichiuasej tlen ya tlanauatia
Su influencia puede debilitar poco a poco nuestra fe,kej inijuantij moiljuiaj uelis kichiuas ayokmo kuali ma titlaneltokakaj
Todos estamos expuestos al modo de pensar del mundo que se promueve en la televisión Internet los lugares de empleo y la escuela,uan kampa ueli tijkakij tlen inijuantij moiljuiaj kej ipan televisión semtlaltikpamatlatl kampa titekitij uan kampa timomachtiaj
En este artículo examinaremos qué hacer para que esta forma de pensar no nos corrompa la mente,ipan ni tlamachtili tikitasej tlake uelis tijchiuasej uan kiampa amo timoiljuisej kej inijuantij
